Unnamed: 0,No,Publication,Authors,Year,Type of paper,Journal,Type of study,Pre-prints,DOI,Used?,Partially?,Method,Hybridisation,"1. Objectives (purpose, model outputs, aims of experimentation)","2. Logic (base model overview diagram, base model logic, scenario logic, algorithms, components)","3. Data (data sources, input parameters, preprocessing, assumptions","4. Experimentation (initialisation, run length, estimation approach)","5. Implementation (software and programming language, random sampling, model execution, system specification)",6. Code access (computer model sharing statement),Source code access,Software,Application area,Case study,Note,Appendix,Questions to be asked from authors / experts,...27,Fatemeh's Note
66,66,Conceptual Models in Simulation Studies: Making it Explicit,"Wilsdorf, Pia, Fiete Haack, and Adelinde M. Uhrmacher",2020.0,Conference,Winter Simulation Conference,Conceptual,No,https://doi.org/10.1109/WSC48552.2020.9383984,No,,,,,,,,,,,,,,,,,,
67,67,Credible agent-based simulation an illusion or only a step away,"Onggo, Bhakti Stephan, Levent Yilmaz, Franziska Klügl, Takao Terano, and Charles M. Macal",2019.0,Conference,Winter Simulation Conference,Discussion,No,https://doi.org/10.1109/WSC40007.2019.9004716,No,,,,,,,,,,,,,,,,,,
68,68,Optimizing drug inventory management with a web-based information system: The TBTC Study 31/ACTG A5349 experience,"Scott NA, Lee KK, Sadowski C, Kurbatova EV, Goldberg SV, Nsubuga P, Kitshoff R, Whitelaw C, Thuy HN, Batra K, Allen-Blige C",2021.0,Journal,Contemporary Clinical Trials,Empirical - replication,No,https://doi.org/10.1016/j.cct.2021.106377,Yes,,SD,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,R,Inventory management,Drug inventory,,Yes - checklist with description,,,
69,69,Hybrid modelling and simulation of the effect of vaccination on the COVID-19 transmission,"Angelopoulou, Anastasia, and Konstantinos Mykoniatis",2024.0,Journal,Journal of Simulation,Empirical,No,https://doi.org/10.1080/17477778.2022.2062260,Yes,Yes,Hybrid,DES+ABS,Yes,Yes,Yes,Yes,All but system specification,Yes,Yes,AnyLogic,Healthcare,Vaccinartion effect,"Used MPMF framework to capture the hybrid model and describe the interaction points between ABM and DES, claimed to have supplemenntary but I did not find",,,,
70,70,A systematic review of simulation methods applied to cancer care services,"Gjerloev, Amalia, Sonya Crowe, Christina Pagel, Yogini Jani, and Luca Grieco",2024.0,Journal,Health Systems,LR,No,https://doi.org/10.1080/20476965.2024.2322451,NO,,,,,,,,,,,,,,,,,,
71,71,Stage Shifting by Modifying the Determinants of Breast Cancer Stage at Diagnosis: A Simulation Study,"Pokharel, Gyanendra, Qinggang Wang, Momtafin Khan, Paula J. Robson, Lorraine Shack, and Karen A. Kopciuk.",2024.0,Journal,cancers,Empirical,No,https://doi.org/10.3390/cancers16061201,Yes,Yes,MonteCarlo?,,Yes,Yes,"input parameter, source, preprocessing","Estimation approach, run length",Software,Yes,Yes,R,Healthcare,Disease diagnosis,,,,,
72,72,A configurable computer simulation model for reducing patient waiting time in oncology departments,"Corsini, Roberto Rosario, Antonio Costa, Sergio Fichera, and Alessandro Pluchino",2023.0,Journal,Health Systems,Empirical,No,https://doi.org/10.1080/20476965.2022.2030655,Yes,Yes,ABS,,Yes,Yes,Yes,All but initialisation?,All but system spec,Yes,Upon request,Netlogo,Healthcare,Waiting time in oncology department,,,,,
73,73,Modelling lung cancer diagnostic pathways using discrete event simulation,"England, Tracey, Paul Harper, Tom Crosby, Daniel Gartner, Edilson F. Arruda, Kieran Foley, and Ian Williamson",2023.0,Journal,Journal of Simulation,Empirical,No,https://doi.org/10.1080/17477778.2021.1956866,Yes,Yes,DES,,Yes,Yes,All but assumption,All but initialisation,All but system spec,No,,Simul8,Healthcare,Disease diagnosis,,,,,
74,74,An exploratory assessment of the impact of a novel risk assessment test on breast cancer clinic waiting times and workflow: a discrete event simulation model,"Smith, Alison F., Samuel N. Frempong, Nisha Sharma, Richard D. Neal, Louise Hick, and Bethany Shinkins",2022.0,Journal,BMC Health Services Research,Empirical,No,https://doi.org/10.1186/s12913-022-08665-0,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,Yes,Upon request,Simul8,Healthcare,Waiting time in cancer clinic,,Yes - checklist,,,
75,75,Designing Mixed-Fleet of Electric and Autonomous Vehicles for Home Grocery Delivery Operation: An Agent-Based Modelling Study,"Utomo, Dhanan Sarwo, Adam Gripton, and Philip Greening.",2022.0,Conference,Winter Simulation Conference,Empirical,No,https://doi.org/10.1109/WSC57314.2022.10015316,Yes,Yes,ABS,,Purpose and model output,Yes,Yes,Yes,Yes,No,,Netlogo,Scheduling,Last mile delivery operations,,,,,
76,76,Strengthening 'good'modelling practices in robust decision support: A reporting guideline for combining multiple model-based methods,"Moallemi, Enayat A., Sondoss Elsawah, and Michael J. Ryan",2020.0,Journal,Mathematics and Computers in Simulation,Reporting guideline,No,https://doi.org/10.1016/j.matcom.2019.05.002,No,,,,,,,,,,,,,,,,,,
77,77,Simulating the battery price and the car-mix in key electro-mobility markets via model coupling,"Gomez Vilchez, Jonatan J., and Christian Thiel",2020.0,Journal,Journal of Simulation,Empirical,No,https://doi.org/10.1080/17477778.2020.1781556,No,,SD,,,,,,,,,,Automobile,,"Requires reassessment; authors statement: ""Though these guidelines are valuable, we propose an alternative approach: the interested reader can gain free access to the main models.""",,,,
78,78,Simulation Experiment Schemas Beyond Tools and Simulation Approaches,"Wilsdorf, Pia, Marcus Dombrowsky, Adelinde M. Uhrmacher, Julius Zimmermann, and Ursula van Rienen",2019.0,Conference,Winter Simulation Conference,Conceptual,No,https://doi.org/10.1109/WSC40007.2019.9004710,No,,,,,,,,,,,,,,,,,,
79,79,Strategic resource planning of endoscopy services using hybrid modelling for future demographic and policy change,"Harper, Alison, and Navonil Mustafee",2022.0,Journal,Journal of the Operational Research Society,Empirical,No,https://doi.org/10.1080/01605682.2022.2078675,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,Yes,Upon request,Simul8,Healthcare,Resource planning,,Yes - checklist,,,
80,80,A Systematic Literature Review Identifying the Dimensions and Components of Simulation of the Hospital Emergency Department During Emergencies and Disasters,"Shirazi, Fahimeh Barghi, Shandiz Moslehi, Mohammad Reza Rasouli, and Gholamreza Masoumi",2022.0,Journal,Medical journal of the Islamic Republic of Iran,LR,No,https://doi.org/10.47176%2Fmjiri.36.82,No,,,,,,,,,,,,,,,,,,
81,81,Implementing hybrid simulations that integrate DES+SD in Python,"Palmer, Geraint I., and Yawen Tian",2023.0,Journal,Journal of Simulation,Conceptual,No,https://doi.org/10.1080/17477778.2021.1992312,No,,,,,,,,,,,,,,,,,,
82,82,The Role of Simulation-Based Studies in Software Engineering Research,"de Franca, Breno Bernard Nicolau, and Nauman Bin Ali",2020.0,Book,Springer,Book Chapter,No,https://doi.org/10.1007/978-3-030-32489-6_10,No,,,,,,,,,,,,,,,,,,
83,83,"A Systemic Analysis of the Environmental Impacts of Gold Mining within the Blyde River Catchment, a Strategic Water Area of South Africa","Selebalo, Itumeleng M., Mary C. Scholes, and Jai K. Clifford-Holmes",2021.0,Journal,Water,Empirical,No,https://doi.org/10.3390/w13030301,Yes,Yes,SD,,Purpose,Yes,Yes,Yes,"Software, model execution",No,,Stella,Water,mining operations,,,,,
84,84,Intended and unintended consequences of strategies to meet performance benchmarks for rheumatologist referrals in a centralized intake system,"Marshall, Deborah A., Toni Tagimacruz, Claire EH Barber, Monica Cepoiu?Martin, Elena Lopatina, Jill Robert, Terri Lupton, Jatin Patel, and Diane P. Mosher",2023.0,Journal,Journal of Evaluation in Clinical Practice,Empirical,No,https://doi.org/10.1111/jep.13926,Yes,Yes,DES,,Yes,Base model logic and sceario logic,"Data sources, assumptions","Initialisation, run length",Software,No,,Arena,Healthcare,Disease diagnosis,,Yes - checklist,,,
85,85,The Issue of Trust and Implementation of Results in Healthcare Modeling and Simulation Studies,"Harper, Alison, Navonil Mustafee, and Mike Yearworth",2022.0,Conference,Winter Simulation Conference,Discussion,No,https://doi.org/10.1109/WSC57314.2022.10015276,No,,,,,,,,,,,,,,,,,,
86,86,Examining the diagnostic pathway for lung cancer patients in Wales using discrete event simulation,"England, Tracey J., Paul R. Harper, Tom Crosby, Daniel Gartner, Edilson F. Arruda, Kieran G. Foley, and Ian J. Williamson",2021.0,Journal,Translational Lung Cancer Research,Empirical,No,https://doi.org/10.21037%2Ftlcr-20-919,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Upon request,Simul8,Healthcare,Disease diagnosis,,Yes - checklist,,,
87,87,Non-Invasive Diagnosis of Liver Fibrosis in Chronic Hepatitis C using Mathematical Modeling and Simulation,"Shukla, Nehal, Anastasia Angelopoulou, and Rania Hodhod",2022.0,Journal,Electronics,Empirical,No,https://doi.org/10.3390/electronics11081260,Yes,,Hybrid simulation,SD + ABS,Yes,Base model logic,All but assumptions,Run length,Software,No,,AnyLogic,Healthcare,Disease diagnosis,The use of STRESS has only been used for SD model,,,,
88,88,Using Strategic Options Development and Analysis (SODA) to understand the simulation accessibility problem,"Collins, Andrew J., Ying Thaviphoke, and Antuela A. Tako",2023.0,Journal,Journal of the Operational Research Society,Discussion,No,https://doi.org/10.1080/01605682.2022.2129481,No,,,,,,,,,,,,,,,,,,
89,89,Emergency exit layout planning using optimization and agent-based simulation,"Barth, Maren S., Katharina Palm, Henrik Andersson, Tobias A. Granberg, Anders N. Gullhav, and Andreas Krüger",2024.0,Journal,Computational Management Science ,Empirical,No,https://doi.org/10.1007/s10287-023-00482-y,Yes,Yes,ABS,,Yes,Yes,Yes,Yes,Yes,No,,Python,Emergency planning,Layout planning - a case study of emergency exit for concert,,,,,
90,90,A reusable discrete event simulation model for improving orthopedic waiting lists,"Boyle, Laura, and Mark Mackay",2022.0,Conference,Winter Simulation Conference,Empirical,No,https://doi.org/10.1109/WSC57314.2022.10015512,Yes,Yes,DES,,Yes,Yes,Yes,Yes,All but system spec,Yes,Will be available in future,AnyLogic,Healthcare,Patient flow,,,,,
91,91,Deploying healthcare simulation models using containerization and continuous integration,"Harper, Alison, Thomas Monks, and Sean Manzi",2023.0,Preprint,OSF,Empirical,Yes,https://doi.org/10.31219/osf.io/qez45,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Python,Healthcare,Patient flow,,Yes - checklist,,,
92,92,Effects of user cognitive biases on platform competition,"Katsamakas, Evangelos, and Heba Madany",2019.0,Journal,Journal of Decision Systems ,Discussion,No,https://doi.org/10.1080/12460125.2019.1620566,No,,,,,,,,,,,,,,,,,,
93,93,Generating simulation experiments based on model documentations and templates,"Ruscheinski, Andreas, Kai Budde, Tom Warnke, Pia Wilsdorf, Bjarne C. Hiller, Marcus Dombrowsky, and Adelinde M. Uhrmacher",2018.0,Conference,Winter Simulation Conference,Tutorial,No,https://doi.org/10.1109/WSC.2018.8632515,No,,,,,,,,,,,,,,,,,,
94,94,Towards sharing tools and artefacts for reusable simulations in healthcare,"Monks, Thomas, Alison Harper, and Navonil Mustafee",2024.0,Journal,Journal of Simulation,Discussion,No,https://doi.org/10.1080/17477778.2024.2347882,No,,,,,,,,,,,,,,,,,,
95,95,Applying the stress guidelines for reproducibility in modeling & simulation: Application to a disease modeling case study,"Taylor, Simon JE, Anastasia Anagnostou, Thomas Monks, Christine Currie, Bhakti Stephan Onggo, Martin Kunc, and Stewart Robinson",2018.0,Conference,Winter Simulation Conference,Empirical,No,https://doi.org/10.1109/WSC.2018.8632405,Yes,,ABS,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Java?,Healthcare,Disease modelling,,Yes - checklist,The DOI in the article does not work,,
96,96,Discrete event simulation model performed with data analytics for a call center optimization,"Serper, Nisan, Elifen, and Banu Cal",2022.0,Journal,Istanbul Business Research,Empirical,No,https://doi.org/10.26650/ibr.2022.51.951646,Yes,Yes,DES,,Purpose,Yes,Yes,Yes,Yes,No,,Arena,Scheduling,Call centre system,,,,,
97,97,Quantitative methods used to evaluate impact of health promotion interventions to prevent HIV infections: a methodological systematic review protocol,"Ravalihasy, Andrainolo, Lidia Karda?-S?oma, Yazdan Yazdanpanah, and Valéry Ridde",2022.0,Journal,Systematic Reviews,LR,No,https://doi.org/10.1186/s13643-022-01970-z,No,,,,,,,,,,,,,,,,,,
98,98,Estimation of SARS-CoV-2 aerosol emissions from simulated patients with COVID-19 and no to moderate symptoms,"Riediker, Michael, and Dai-Hua Tsai.",2020.0,Journal,JAMA,Empirical,No,https://doi.org/10.1001/jamanetworkopen.2020.13807,Yes,Yes,MonteCarlo?,,Purpose,Base model logic,Yes,Estimation approach,No,No,,?,Healthcare,Disease estimation,,,,,
99,99,Integrating system dynamics and scenarios: A framework based on personal experience,Martin Kunc,2024.0,Journal,Future & Forsight Science,Tutorial,No,https://doi.org/10.1002/ffo2.174,No,,,,,,,,,,,,,,,,,,
100,100,Discrete-event simulation to model the thrombolysis process for acute ischemic stroke patients at urban and rural hospitals,"Bulmer, Tessa, David Volders, John Blake, and Noreen Kamal",2021.0,Journal,Frontiers in Neurology,Empirical,No,https://doi.org/10.3389/fneur.2021.746404,Yes,,DES,,Yes,Yes,Yes,Yes,"Software, random sampling",Yes,Upon request,Arena,Healthcare,Patient flow,,"Yes - some elements of STRESS is in the appendix, does not contain checklist",,,
101,101,Panel-towards conceptual modeling for hybrid simulation: Setting the scene,"Tako, Antuela A., Tillal Eldabi, Paul Fishwick, Caroline C. Krejci, and Martin Kunc",2019.0,Conference,Winter Simulation Conference,Discussion,No,https://doi.org/10.1109/WSC40007.2019.9004838,No,,,,,,,,,,,,,,,,,,
102,102,Quantitative methods used to evaluate impact of combination HIV prevention intervention: a methodological systematic review,"Ravalihasy, Andrainolo, Pearl Anne Ante-Testard, Lidia Kardas-Sloma, Yazdan Yazdanpanah, Manuela De Allegri, and Valéry Ridde",2023.0,Journal,AIDS and Behavior,LR,No,https://doi.org/10.1007/s10461-023-04000-8,No,,,,,,,,,,,,,,,,,,
103,103,Optimasi Waktu Penyelesaian Kuota Vaksin pada Layanan Vaksinasi di Pusat Perbelanjaan dengan Simulasi Kejadian Diskrit,"Hutomo, Ivan Keane, Khenny Hosana, Ivan Gunawan, and Lusia Permata Sari Hartanti",2023.0,Journal,Jurnal INTECH Teknik Industri Universitas Serang Raya,Unkown,No,https://doi.org/10.30656/intech.v9i1.5045,,,,,,,,,,,,,,,,,,,
104,104,Simulation of a schedule-based mass vaccination clinic,"Adacher, Ludovica, Marta Flamini, and Maurizio Naldi",2023.0,Journal,Journal of Simulation,Empirical,No,https://doi.org/10.1080/17477778.2023.2260348,Yes,Yes,DES,,Yes,"Base model logic, base model overview diagram, algorithms, and components",Input parameters and assumptions,Yes,Yes,Yes,Yes,R,Healthcare,Patient flow,They claimed that the code is available on a freely accessible repository but I could not find the related link,,,,
105,105,"Simulation Modelling: Concepts, Tools and Practical Business Applications","Greasley, Andrew",2022.0,Book,Taylor & Francis,Book,No,https://doi.org/10.4324/9781003124092,No,,,,,,,,,,,,,,,,,,
106,106,Use of computer simulation to identify effects on hospital census with reduction of transfers for non-procedural patients in community hospitals,"Walker, Laura, Katharina Kohler, Matthew Jankowski, and Todd Huschka",2024.0,Journal,BMJ Open Quality,Empirical,No,https://doi.org/10.1136/bmjoq-2023-002652,Yes,Yes,DES,,Yes,Yes,Yes,Yes,Yes,No,,Arena,Healthcare,Consultation abd referrals,,,,,
107,107,Assessing resilience of medicine supply chain networks to disruptions: a proposed hybrid simulation modeling framework,"Viana, Joe, Kim Van Oorschot, and Christine Ardal",2021.0,Conference,Winter Simulation Conference,Empirical,No,https://doi.org/10.1109/WSC52266.2021.9715466,Yes,,Hybrid simulation,DES+SD+ABS,Yes,Yes,Yes,Yes,Yes,Yes,Upon request,AnyLogic,Supply chain management,Healthcare SC,,,,,
108,108,Open Science for Computer Simulation,"Monks, Thomas, Alison Harper, Anastasia Anagnostou, and Simon JE Taylor",2022.0,Preprint,OSF,Conceptual,Yes,https://doi.org/10.31219/osf.io/zpxtm,No,,,,,,,,,,,,,,,,,,
109,109,An MVP approach to developing complex hybrid simulation models,"Jones, William, Philip Gun, and Mehdi Foumani",2022.0,Conference,Winter Simulation Conference,Conceptual,No,https://doi.org/10.1109/WSC57314.2022.10015460,No,,,,,,,,,,,,,,,,,,
110,110,Study on the Emergency Management System considering Victims' Self?Rescue Abilities,"Liang, Wei, Yanyan Huang, and Jianyu Wang",2022.0,Journal,Discrete dynamics in nature and society,Empirical,No,https://doi.org/10.1155/2022/8494324,No,,,,,,,,,,,,,,,,,,
111,111,Potential and Challenges of Assurance Cases for Simulation Validation,"Wilsdorf, Pia, Steffen Zschaler, Fiete Haack, and Adelinde Uhrmacher",2024.0,Conference,Proceedings of the 2024 Winter Simulation Conference,Conceptual,Yes,https://kclpure.kcl.ac.uk/portal/files/273512474/wintersim24.pdf,No,,,,,,,,,,,,,,,,,,
112,112,Modeling and analysis of honey bee foraging behavior,"Purdy, John, and Francis A. Drummond",2024.0,Book,Academic Press,Book chapter,No,https://doi.org/10.1016/B978-0-323-91793-3.00003-1,,,,,,,,,,,,,,,,,,,
113,113,Choosing where to set the threshold between low-and high-risk patients: Evaluating a classification tool within a simulation,"Saville, Christina E., Honora K. Smith, Katarzyna Bijak, and Pauline Leonard",2022.0,Journal,Journal of the Operational Research Society ,Empirical,No,https://doi.org/10.1080/01605682.2022.2096497,Yes,,DES,,"Purpose, aim of experimentation","Base model overview diagram and logic, scenario logic",Yes,Yes,"Software, random sampling",No,,Simul8,Healthcare,Patient classification,The authors did not claimed the use of STRESS but there are some elements of the guideline (I guess the reason is that the simulation is not the focus of the study instead the classification is),,,,
114,114,Open-Source Modeling for Orthopedic Elective Capacity Planning using Discrete-Event Simulation,"Harper, Alison, Martin Pitt, and Thomas Monks",2023.0,Conference,Winter Simulation Conference,Empirical,No,https://doi.org/10.1109/WSC60868.2023.10408227,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Python,Healthcare,Capacity planning,To be asked from Tom and Alison,,,,
115,115,Statistical design of overnight trials for the evaluation of the number of operating rooms that can be disinfected by an ultraviolet light disinfection robotic system,"Birchansky, Bradlee, Franklin Dexter, Richard H. Epstein, and Randy W. Loftus",2021.0,Journal,Cureus,Empirical,No,https://doi.org/10.7759%2Fcureus.18861,Yes,,MonteCarlo,,Purpose,Base model logic,No,Yes,Software,No,,MATLAB,Healthcare,Operating room management,"I doubt that they used STRESS, except for the name no elements has been mentioned altough some concepts of the elements are included",,,,
116,116,NBSIMGEN: Jupyter Notebook Extension for Generating Simulation Experiments,"Wilsdorf, Pia, Anton Willy Kirchhubel, and Adelinde M. Uhrmacher",2023.0,Conference,Winter Simulation Conference,Empirical,No,https://doi.org/10.1109/WSC60868.2023.10408537,No,,,,,,,,,,,,,,,,,,
117,117,Mapping and Describing Geospatial Data to Generalize Complex Models: The Case of LittoSIM-GEN,"Laatabi, Ahmed, Nicolas Becu, Nicolas Marilleau, Cécilia Pignon-Mussaud, Marion Amalric, Xavier Bertin, Brice Anselme, and Elise Beck",2020.0,Journal,International Journal of Geospatial and Environmental Research,Empirical,No,https://dc.uwm.edu/ijger/vol7/iss1/6?utm_source=dc.uwm.edu%2Fijger%2Fvol7%2Fiss1%2F6&utm_medium=PDF&utm_campaign=PDFCoverPages,No,,,,,,,,,,,,,,,,,,
118,118,How to design a structure-based In-silico approach for the therapeutic drug development for diabetes mellitus or obesity: A Systemic Review,"Asija, Rajesh, Amandeep Swami, and Yovin Chug",2023.0,Journal,International Journal of Health Advancement and Clinical Research,LR,No,http://ijhacr.com/index.php/ijhacr/article/view/29,No,,,,,,,,,,,,,,,,,,
119,119,"An agent-based model of supply chain financing: agents strategies, performance, and risk contagions","Yang, Yang, Xinli Que, Qian Qian, and Hao Fang",2022.0,Journal,Journal of Simulation,Empirical,No,https://doi.org/10.1080/17477778.2023.2207747,Yes,,ABS,,Yes,Yes,Yes,Yes,Yes,No,,Netlogo,Finance,Supply chain financing,,,,,
120,120,Simulation Studies of Social Systems Telling the Story Based on Provenance Patterns,"Reinhardt, Oliver, Toby Prike, Martin Hinsch, Jakub Bijak, Pia Wilsdorf, and Adelinde M. Uhrmacher",2023.0,Preprint,TechRxiv,Discussion,Yes,https://drive.google.com/file/d/1_lxi6egE9DPGIDLEcpVlV2JVZXmaiUv8/view,No,,,,,,,,,,,,,,,,,,
121,121,COVID-19 pandemic surges can induce bias in trials using response adaptive randomization: A simulation study,"Yarnell, Christopher J., Robert A. Fowler, Lillian Sung, and George Tomlinson",2022.0,Preprint,medRxiv,Empirical,Yes,https://doi.org/10.1101/2022.07.13.22277596,Yes,,MonteCarlo,,Yes,"Base model logic, scenario logic",Assumptions,"Estimation approach, run length","Software, model execution",Yes,Yes,R,Healthcare,Adaptive clinical trials,,Yes - but not checklist,,,
122,122,Use of Clinical Pathway Simulation and Machine Learning to Identify Key Levers for Maximizing the Benefit of Intravenous Thrombolysis in Acute Stroke,"Allen, Michael, Charlotte James, Julia Frost, Kristin Liabo, Kerry Pearn, Thomas Monks, Richard Everson, Ken Stein, and Martin James",2020.0,Journal,Stroke,Empirical,No,https://doi.org/10.1161/STROKEAHA.121.038454,Yes,,Hybrid model,MonteCarlo Simulation + Machine learning,Yes,"Base model logic, scenario logic, algorithms",Yes,Yes,"Software, random sampling",Yes,Yes,Python,Healthcare,Strocke patients,,Yes - but not checklist,,,
123,123,Communicating Agent-Based Models in Management Research and Managerial Practice,"Meyer, Matthias, and Jan Spitzner",2024.0,Book,The Oxford Handbook of Agent-based Computational Management Science,Book chapter,No,https://doi.org/10.1093/oxfordhb/9780197668122.013.22,No,,,,,,,,,,,,,,,,,,
124,124,Hybrid health systems simulation modelling: controlling Covid-19 infections in care homes,"Nguyen, Le Khanh Ngan",2022.0,Thesis,University of Stratclyde,PhD Thesis,No,https://stax.strath.ac.uk/concern/theses/5h73pw54g,No,,,,,,,,,,,,,,,,,,
125,125,A Decision Tree to Shepherd Scientists through Data Retrievability,"Bianchi, Andrea, Giordano d'Aloisio, Francesca Marzi, and Antinisca Di Marco",2023.0,Preprint,arxic,Conceptual,Yes,https://doi.org/10.48550/arXiv.2304.05767,No,,,,,,,,,,,,,,,,,,
126,126,A Qualitative Assessment of Studies Evaluating the Classification Accuracy of Personnel Using START in Disaster Triage: A Scoping Review,"Wisnesky, Uira Duarte, Scott W. Kirkland, Brian H. Rowe, Sandra Campbell, and Jeffrey Michael Franc",2022.0,Journal,Frontiers in public health,LR,No,https://doi.org/10.3389/fpubh.2022.676704,No,,,,,,,,,,,,,,,,,,
127,127,Simulation Studies of Social Systems- Telling the Story Based on Provenance Patterns,"Wilsdorf, Pia, Oliver Reinhardt, Toby Prike, Martin Hinsch, Jakub Bijak, and Adelinde M. Uhrmacher",2024.0,Preprint,Royal Society Open Science,Discussion,Yes,http://eprints.soton.ac.uk/id/eprint/490724,No,DP,,,,,,,,,,,,,,,,,
128,128,Operations research for tourism planning and destination management,"Gu, Yunfei",2024.0,Thesis,University of Southampton,PhD Thesis,No,https://eprints.soton.ac.uk/491407/2/Yunfei_PhD_Thesis_Revision_final.pdf,Yes,,ABS and SD,,Purpose,"Base model logic, component","Data sources, input parameters, assumptions",Initialisation,"Software, model execution, random sampling",No,,Anylogic,Tourism,Destination management and planning,Integration method = enriching,,,,
129,129,Modeling of waiting lists for chronic heart failure in the wake of the covid-19 pandemic,"Wise, Alan F., Lucy E. Morgan, Alexander Heib, Christine SM Currie, Alan Champneys, Ramesh Nadarajah, Chris Gale, and Mamas Mamas",2021.0,Conference,Winter Simulation Conference,Empirical,No,https://doi.org/10.1109/WSC52266.2021.9715505,Yes,,DES,,"Purpose, model outputs",Base model logic and diagram,Yes,Yes,"Software, random sampling",No,,Python - Simpy,Healthcare,Patient flow,,,,,
130,130,From simulation to implementation: practical advice for policy makers who want to use computer modeling as an analysis and communication tool,"Felix, Javier Sandoval, and Manuel Castanon-Puga",2019.0,Book,Springer,Book chapter,No,https://link.springer.com/chapter/10.1007/978-3-030-17985-4_6,No,,,,,,,,,,,,,,,,,,
131,131,Formal design methods and the relation between simulation models and theory: A philosophy of science point of view,"Troitzsch, Klaus G",2020.0,Book,Springer,Book chapter,No,https://link.springer.com/chapter/10.1007/978-3-030-54936-7_2,No,,,,,,,,,,,,,,,,,,
132,132,Direct oral anticoagulants (DOACs) use in patients with renal insufficiency and obesity,"Nwanosike, Ezekwesiri Michael",2023.0,Thesis,University of Huddersfield,PhD Thesis,No,https://pure.hud.ac.uk/ws/portalfiles/portal/83727839/Final_thesis_Nwanosike.pdf,No,,,,,,,,,,,,,,Used the checklist for quality assessment of the studies,,,,
133,133,"Applications Of Large Language Models, Aggregation Algorithms, And Extensions For Fuzzy Cognitive Maps","Schuerkamp, Ryan",2024.0,Thesis,Miami University,Master Thesis,No,https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=miami1713604010557592&disposition=inline,No,,,,,,,,,,,,,,,,,,
134,134,An agent-based modelling approach for assessing entrepreneurial intentions and development strategies in the rural hospitality industry,"Gu, Yunfei, Bhakti Stephan Onggo, Martin Kunc, and Steffen Bayer",2023.0,Workshop,Proceedings of the Operational Research Society Simulation Workshop,Empirical,No,https://doi.org/10.36819/SW23.008,Yes,,ABM,,"Purpose, aims of experimentation","Base model overview diagram and logic, algorithms, components","Data source, input parameters",Initialisation,software,No,,Anylogic,Hospitality and Tourism,Entrepreneurship intentions,,,,,
135,135,Organising outpatient dialysis services during the COVID-19 pandemic. A simulation and mathematical modelling study,"Allen, Michael, Amir Bhanji, Jonas Willemsen, Steven Dudfield, Stuart Logan, and Thomas Monks",2020.0,Preprint,medRxiv,Empirical,Yes,https://doi.org/10.1101/2020.04.22.20075457,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Python - Simpy,Healthcare,Patient flow - outpatient dialysis services,,Yes,,,
136,136,Not in English,Not in English,2023.0,,,,No,http://www.scielo.org.co/scielo.php?pid=S0120-386X2023000100008&script=sci_arttext,,,,,,,,,,,,,,,,,,,
137,137,Simulation Studies of Social Systems--Telling the Story Based on Provenance,"Reinhardt, Oliver, Toby Prike, Martin Hinsch, Jakub Bijak, Pia Wilsdorf, and Adelinde M. Uhrmacher",2023.0,Preprint,TechRxiv,Discussion,Yes,https://www.techrxiv.org/doi/pdf/10.36227/techrxiv.20209844.v2,No,,,,,,,,,,,,,,,,,,
138,138,Network analysis of simulated and real indigenous irrigation system,"Stokes, Alex",2020.0,Thesis,University of Southampton,Master Thesis,No,https://eprints.soton.ac.uk/453033/1/Alex_Stokes_MPhil_thesis_final_copy.pdf,Yes,,,,,,,,,,,,,,,,,,
139,139,Replicating agent-based simulation models of herding in financial markets,"Liu, Xin",2021.0,Thesis,Lancaster University,PhD Thesis,No,https://www.proquest.com/docview/2637956095?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses,Yes,,ABS,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,C++,Finance,Market mechanism,The study compared the two STRESS and ODD guidelines for improving the reproducability,Checklist,,,
140,140,Systems Science for Caribbean Health: An obesity and diabetes simulation model for Jamaica,"Guariguata, Leonor, Leandro Garcia, Natasha Sobers, Trevor S. Ferguson, James Woodcock, T. Alafia Samuels, Cornelia Guell, Nigel Unwin, and Jamaica Mona",2022.0,Preprint,-,Empirical,Yes,https://www.scienceopen.com/document_file/6adcaae4-cd6d-4f5c-a9ba-89e3039d442b/PubMedCentral/6adcaae4-cd6d-4f5c-a9ba-89e3039d442b.pdf,Yes,,SD,,Yes,Yes,Yes,Yes,All but system spec,Yes,Yes,R,Healthcare,Estimating future trend of disease,,,,,
141,141,Tactical Resource Planning in Surgical Clinics,"Bovim, Thomas Reiten",2023.0,Thesis,Norwegian University of Science and Technology,PhD Thesis,No,https://hdl.handle.net/11250/3113339,Yes,,DES,,Yes,Yes,Yes,Yes,Yes,No,,Python - Simpy,Healthcare,Resource planning,,,,,
